Company,CompanyRating,CompanyReviewCount,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Windows Cloud Support Engineer- French Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SCOR,0,0,"Dublin, County Dublin",30+ days ago,IT Systems Engineer (Java & Python),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, CloudWatch, Amazon Intelligent Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",27 days ago,"Software Development Engineer, AWS Security",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",30+ days ago,Principal Software Engineer - Threat Intelligence,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,Senior Software Development Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Senior Software Development Engineer - Lambda, Lambda - Sandbox",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,796,"Dublin, County Dublin",15 days ago,"Lead Architect, Software Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, Lambda Runtimes, AWS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,BigData Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Company,CompanyRating,CompanyReviewCount,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
Brothers of Charity Services Ireland,3.7,87,"Cork, County Cork",14 days ago,Clerical Officer,46948,29810,yearly,Not Disclosed
ALDI,3.2,14389,"Glanmire, County Cork",30+ days ago,Store Cleaner,14.8,14.8,hourly,Not Disclosed
A&G Couriers Ltd,2.7,170,"Cork, County Cork",20 days ago,Courier Van Drivers - Fixed Term - Cork,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Lovisa,0,0,"Cork, County Cork",Just posted,Team Member - Part Time,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ESI Technologies,0,0,"Cork, County Cork",26 days ago,Cleanroom Operative,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
LEO Pharma A/S,3.6,190,"Cork, County Cork",8 days ago,Process Operator,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Ann's Home Care,0,0,"Derry, County Cork",4 days ago,Administrative Assistant,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Home Instead Ireland,3.6,9540,"Blarney, County Cork",30+ days ago,Health Care Assistant,16,13.92,hourly,Not Disclosed
(Master account) Allergan Pharmaceuticals Ireland Unlimited Company,3.8,1519,"Cork, County Cork",30+ days ago,"Production Operator (Role based in Cork, Co Cork)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Serge Global,0,0,"Cork, County Cork",30+ days ago,Facilitative Church Planter,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ALDI,3.2,14389,"Mallow, County Cork",30+ days ago,Store Assistant,16.9,14.8,hourly,Not Disclosed
Airport Staff,0,0,"Cork, County Cork",21 days ago,Administrator,35000,30000,yearly,Not Disclosed
Woodie's DIY,3.4,142,"Blackpool, County Cork",30+ days ago,Store Colleague 20hrs - Blackpool,12.9,12.9,hourly,Not Disclosed
Intrust Communications,0,0,"Cork, County Cork",30+ days ago,Customer Service Agent,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Costcutter,0,0,"Bandon, County Cork",12 days ago,shop assistant,12.7,12.7,hourly,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Cloud Support Associate 신입사원 - Ireland 아일랜드 근무,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",30+ days ago,Security Engineer - Identity,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Deloitte,3.9,13574,"Dublin, County Dublin",30+ days ago,"Senior Power Platform Developer, Hybrid",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SCOR,0,0,"Dublin, County Dublin",30+ days ago,IT Data Engineer (SQL Server),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Troy Consultancy,0,0,"DUBLIN 1, County Dublin",30+ days ago,Lead CamStar/ OpCenter Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Windows Cloud Support Engineer- French Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, CloudWatch, Amazon Intelligent Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",30+ days ago,Principal Software Engineer - Threat Intelligence,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,Senior Software Development Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,796,"Dublin, County Dublin",15 days ago,"Lead Architect, Software Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SCOR,0,0,"Dublin, County Dublin",30+ days ago,IT Systems Engineer (Java & Python),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Senior Software Development Engineer - Lambda, Lambda - Sandbox",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",27 days ago,"Software Development Engineer, AWS Security",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
NTT DATA,3.5,4669,"Dublin, County Dublin",30+ days ago,Technical Lead - Core Banking,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Information Services Corporation,0,0,"Dublin, County Dublin",30+ days ago,Engineering Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",29 days ago,Cloud Support Engineer - DMS (Mandarin speaker),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,"Dublin, County Dublin",30+ days ago,"Senior Software Engineer, Atlas Dedicated",Not Disclosed,Not Disclosed,Not Disclosed,Remote
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, Lambda Runtimes, AWS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,BigData Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Virtuos Games,0,0,"Dublin, County Dublin",30+ days ago,Experienced Technical Artist,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51369,"Dublin, County Dublin",14 days ago,"System Development Engineer, AWS DNS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,"Dublin, County Dublin",30+ days ago,"Senior Staff, Forward Deployed AI Engineer",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,"Dublin, County Dublin",30+ days ago,Devops Engineer - Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,"Dublin, County Dublin",25 days ago,Senior Forward Deployed AI Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,"Dublin, County Dublin",30+ days ago,"Technical Services Engineer, Partner",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Development Centre Ireland Limited - D94,3.5,51369,"Dublin, County Dublin",30+ days ago,"Senior Software Development Engineer, AWS Security SecDevOps",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"Cloud Support Engineer - CICD, AWS Support Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"BigData Cloud Support Engineer- Spanish Speaker, Cloud Support Eng. II (NINF)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Development & Mobile Services Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Cloud Support Engineer (Korean speaker),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Deployment Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"Deployment Cloud Support Engineer- Spanish Speaker, Cloud Support Eng. II (NINF)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Containers Cloud Support Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
State Street,3.5,3174,"DUBLIN 2, County Dublin",5 days ago,"Senior QA Automation Engineer, Charles River Development, Assistant Vice President",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Accenture,4,27305,"Dublin, County Dublin",4 days ago,Technical Architect (Microsoft / .NET),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"Cloud Support Engineer (Japanese Speaker), AWS Support Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"Cloud Support Engineer (Korean speaker), AWS Support Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Development & Mobile Services Cloud Support Engineer- Spanish Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"Amazon EU SARL, Irish Branch",3.5,51369,"Dublin, County Dublin",6 days ago,"Technical Acct Mgr, AWS Enterprise Support, AWS Enterprise Support, ES-EMEA-UKI",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
LetsGetChecked,2.7,22,"Dublin, County Dublin",5 days ago,Backend Software Engineer C#,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Test Triangle Software Services Pvt Ltd,0,0,"Dublin, County Dublin",30+ days ago,.Net Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
BearingPoint Ireland,0,0,"Dublin, County Dublin",30+ days ago,Senior Full Stack .NET Developer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
LetsGetChecked,2.7,22,"Dublin, County Dublin",30+ days ago,Junior Backend Software Engineer C#,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
AMCS Group,3.3,25,"Dublin, County Dublin",30+ days ago,Senior Software Developer,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Ramp Infotech Pvt Ltd,0,0,"Dublin, County Dublin",8 days ago,Dotnet Developer,40000,25000,yearly,Not Disclosed
Eurofins,2.8,2639,"Dublin, County Dublin",30+ days ago,Senior Full-Stack Developer (Angular + C#),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
EnergyCAP,0,0,"DUBLIN 8, County Dublin",30+ days ago,Front-End Software Developer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Stay Planet,0,0,"Dublin, County Dublin",30+ days ago,Erasmus Web Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
phantomarc studio Ltd,0,0,"Dublin, County Dublin",2 days ago,Senior Game Developer,85000,0,yearly,Not Disclosed
BearingPoint Ireland,0,0,"Dublin, County Dublin",30+ days ago,.NET Software Development Lead,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Cubic Telecom,0,0,"Dublin, County Dublin",30+ days ago,Software Engineer - Ireland,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Cubic Telecom,0,0,"Dublin, County Dublin",30+ days ago,Software Support Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eurofins,2.8,2639,"Dublin, County Dublin",30+ days ago,Full-Stack Developer (Angular + C#),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Compass Education,0,0,"Dublin, County Dublin",15 days ago,Senior Full Stack Developer (.NET / React),70000,65000,yearly,Hybrid work
DOCOsoft,0,0,"Dublin, County Dublin",4 days ago,Software Development Team Lead,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Compass Education,0,0,"Dublin, County Dublin",30+ days ago,Mid-Level Full-Stack Developer (React / .NET),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
RUE GILT GROUPE,3.2,305,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,105000,95000,yearly,Not Disclosed
Test Triangle Software Services Pvt Ltd,0,0,"Dublin, County Dublin",30+ days ago,Senior D365 / Power Platform Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
LetsGetChecked,2.7,22,"Dublin, County Dublin",30+ days ago,Senior Backend Engineer .Net (Dublin),80000,70000,yearly,Not Disclosed
Cubic Telecom,0,0,"Dublin, County Dublin",30+ days ago,Associate Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Brothers of Charity Services Ireland,3.7,87,"Cork, County Cork",14 days ago,Clerical Officer,46948,29810,yearly,Not Disclosed
ALDI,3.2,14389,"Glanmire, County Cork",30+ days ago,Store Cleaner,14.8,14.8,hourly,Not Disclosed
A&G Couriers Ltd,2.7,170,"Cork, County Cork",20 days ago,Courier Van Drivers - Fixed Term - Cork,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Lovisa,0,0,"Cork, County Cork",Just posted,Team Member - Part Time,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ESI Technologies,0,0,"Cork, County Cork",26 days ago,Cleanroom Operative,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
LEO Pharma A/S,3.6,190,"Cork, County Cork",8 days ago,Process Operator,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Ann's Home Care,0,0,"Derry, County Cork",4 days ago,Administrative Assistant,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Home Instead Ireland,3.6,9540,"Blarney, County Cork",30+ days ago,Health Care Assistant,16,13.92,hourly,Not Disclosed
McDonald's Limited,3.4,249517,"Cork, County Cork",Just posted,Crew Member McDonalds Musgrave Park,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
(Master account) Allergan Pharmaceuticals Ireland Unlimited Company,3.8,1519,"Cork, County Cork",30+ days ago,"Production Operator (Role based in Cork, Co Cork)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Serge Global,0,0,"Cork, County Cork",30+ days ago,Facilitative Church Planter,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ALDI,3.2,14389,"Mallow, County Cork",30+ days ago,Store Assistant,16.9,14.8,hourly,Not Disclosed
Costcutter,0,0,"Bandon, County Cork",12 days ago,shop assistant,12.7,12.7,hourly,Not Disclosed
Woodie's DIY,3.4,142,"Blackpool, County Cork",30+ days ago,Store Colleague 20hrs - Blackpool,12.9,12.9,hourly,Not Disclosed
Airport Staff,0,0,"Cork, County Cork",21 days ago,Administrator,35000,30000,yearly,Not Disclosed
Eurofins,2.8,2639,"Dublin, County Dublin",30+ days ago,Full-Stack Developer (Angular + C#),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Compass Education,0,0,"Dublin, County Dublin",15 days ago,Senior Full Stack Developer (.NET / React),70000,65000,yearly,Hybrid work
DOCOsoft,0,0,"Dublin, County Dublin",4 days ago,Software Development Team Lead,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Compass Education,0,0,"Dublin, County Dublin",30+ days ago,Mid-Level Full-Stack Developer (React / .NET),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
RUE GILT GROUPE,3.2,305,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,105000,95000,yearly,Not Disclosed
Cubic Telecom,0,0,"Dublin, County Dublin",30+ days ago,Associate Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Test Triangle Software Services Pvt Ltd,0,0,"Dublin, County Dublin",30+ days ago,Senior D365 / Power Platform Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
LetsGetChecked,2.7,22,"Dublin, County Dublin",30+ days ago,Senior Backend Engineer .Net (Dublin),80000,70000,yearly,Not Disclosed
StoryToys,0,0,"Dublin, County Dublin",13 days ago,Mid Level Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Cubic Telecom,0,0,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
G2i Inc.,0,0,"Dublin, County Dublin",16 days ago,Software Engineer for Training AI Data,Not Disclosed,Not Disclosed,Not Disclosed,Remote
RUE GILT GROUPE,3.2,305,"Dublin, County Dublin",30+ days ago,Principal Software Engineer,105000,95000,yearly,Not Disclosed
DOCOsoft,0,0,"Dublin, County Dublin",6 days ago,Solutions Architect,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
StoryToys,0,0,"Dublin, County Dublin",13 days ago,Senior Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
IT Search,0,0,"Dublin, County Dublin",30+ days ago,Solutions Architect - Dynamics 365 - contract or permanent,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eurofins,2.8,2639,"Dublin, County Dublin",30+ days ago,Full-Stack Developer (Angular + C#),Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Compass Education,0,0,"Dublin, County Dublin",15 days ago,Senior Full Stack Developer (.NET / React),70000,65000,yearly,Hybrid work
DOCOsoft,0,0,"Dublin, County Dublin",4 days ago,Software Development Team Lead,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
